Time Linearsearch: ID, TIME1, TIME2
0, 0.000335, 0.000005
1, 0.000288, 0.000005
2, 0.000837, 0.000003
3, 0.000000, 0.000000
4, 0.000232, 0.000004
5, 0.000745, 0.000005
6, 0.001034, 0.000007
7, 0.000000, 0.000005
8, 0.000000, 0.000001
9, 0.000000, 0.000004
10, 0.000000, 0.000005
11, 0.001296, 0.000003
12, 0.000550, 0.000004
13, 0.000455, 0.000005
14, 0.000000, 0.000005
15, 0.000000, 0.000004
16, 0.000563, 0.000005
17, 0.001135, 0.000004
18, 0.000118, 0.000002
19, 0.001490, 0.000005
20, 0.000000, 0.000004
21, 0.000000, 0.000006
22, 0.000000, 0.000006
23, 0.000134, 0.000004
24, 0.000681, 0.000003
25, 0.000452, 0.000004
26, 0.000000, 0.000005
27, 0.001384, 0.000003
28, 0.000983, 0.000004
29, 0.001389, 0.000005
30, 0.001130, 0.000006
31, 0.001250, 0.000006
32, 0.000190, 0.000002
33, 0.000067, 0.000003
34, 0.000220, 0.000002
35, 0.001425, 0.000005
36, 0.000546, 0.000004
37, 0.000936, 0.000003
38, 0.001040, 0.000003
39, 0.000000, 0.000006
40, 0.001260, 0.000006
41, 0.000000, 0.000003
42, 0.001439, 0.000006
43, 0.000746, 0.000003
44, 0.000038, 0.000004
45, 0.000000, 0.000007
46, 0.000000, 0.000005
47, 0.000823, 0.000003
48, 0.000000, 0.000002
49, 0.001234, 0.000004
50, 0.000653, 0.000003
51, 0.000000, 0.000001
52, 0.000486, 0.000004
53, 0.000111, 0.000005
54, 0.001692, 0.000001
55, 0.000602, 0.000002
56, 0.000704, 0.000003
57, 0.001382, 0.000003
58, 0.000493, 0.000004
59, 0.000565, 0.000003
60, 0.000026, 0.000006
61, 0.001397, 0.000004
62, 0.000021, 0.000001
63, 0.001095, 0.000000
64, 0.000425, 0.000008
65, 0.000810, 0.000004
66, 0.000000, 0.000000
67, 0.000000, 0.000004
68, 0.001106, 0.000003
69, 0.000000, 0.000002
70, 0.000395, 0.000001
71, 0.000120, 0.000001
72, 0.000000, 0.000004
73, 0.000000, 0.000001
74, 0.000000, 0.000003
75, 0.001341, 0.000002
76, 0.000000, 0.000003
77, 0.001147, 0.000000
78, 0.000000, 0.000001
79, 0.000470, 0.000005
80, 0.000000, 0.000001
81, 0.000532, 0.000007
82, 0.000000, 0.000003
83, 0.000000, 0.000003
84, 0.001072, 0.000001
85, 0.001615, 0.000001
86, 0.001474, 0.000005
87, 0.000000, 0.000001
88, 0.000445, 0.000000
89, 0.000772, 0.000001
90, 0.000065, 0.000002
91, 0.000956, 0.000002
92, 0.000000, 0.000002
93, 0.001221, 0.000004
94, 0.000000, 0.000005
95, 0.001515, 0.000002
96, 0.000000, 0.000000
97, 0.000413, 0.000000
98, 0.000619, 0.000003
99, 0.000000, 0.000002
100, 0.000052, 0.000004
101, 0.001268, 0.000001
102, 0.000187, 0.000003
103, 0.000000, 0.000000
104, 0.000000, 0.000001
105, 0.001345, 0.000002
106, 0.000005, 0.000000
107, 0.001119, 0.000001
108, 0.000000, 0.000004
109, 0.000487, 0.000001
110, 0.000000, 0.000001
111, 0.000000, 0.000005
112, 0.000722, 0.000004
113, 0.000000, 0.000006
114, 0.001177, 0.000001
115, 0.000886, 0.000003
116, 0.000795, 0.000000
117, 0.001179, 0.000003
118, 0.000816, 0.000004
119, 0.001553, 0.000001
120, 0.000073, 0.000001
121, 0.000000, 0.000002
122, 0.000000, 0.000005
123, 0.000000, 0.000003
124, 0.000435, 0.000004
125, 0.000000, 0.000002
126, 0.000000, 0.000002
127, 0.000000, 0.000004
128, 0.001283, 0.000006
